Edge TPU Compiler version 16.0.384591198
Input: /vespai-params/yolov5s-all-data-int8.tflite
Output: /vespai-params/yolov5s-all-data-int8_edgetpu.tflite

Operator                       Count      Status

PAD                            6          Mapped to Edge TPU
PAD                            1          More than one subgraph is not supported
CONCATENATION                  3          More than one subgraph is not supported
CONCATENATION                  14         Mapped to Edge TPU
ADD                            10         Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
STRIDED_SLICE                  6          Mapped to Edge TPU
STRIDED_SLICE                  3          More than one subgraph is not supported
QUANTIZE                       5          Mapped to Edge TPU
QUANTIZE                       2          More than one subgraph is not supported
MUL                            1          More than one subgraph is not supported
MUL                            74         Mapped to Edge TPU
CONV_2D                        59         Mapped to Edge TPU
CONV_2D                        1          More than one subgraph is not supported
LOGISTIC                       66         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
RESHAPE                        6          Mapped to Edge TPU
